clusters	colors
YDL075W	2	#00FFA2
YMR205C	3	#00FFDE
YGR027C	2	#00FFA2
YGR008C	4	#00E4FF
YPR102C	3	#00FFDE
YKL151C	1	#00FF66
YNL302C	3	#00FFDE
YHL009W-B	8	#0D00FF
YHR139C	14	#FF0089
YNR002C	4	#00E4FF
YIL101C	5	#00A8FF
YLR325C	3	#00FFDE
YJL217W	1	#00FF66
YLR413W	10	#8500FF
YGR289C	4	#00E4FF
YPR061C	1	#00FF66
YGL261C	7	#002FFF
YGR225W	8	#0D00FF
YLR178C	4	#00E4FF
YGR271C-A	3	#00FFDE
YMR290C	2	#00FFA2
YJL218W	1	#00FF66
YHR052W	2	#00FFA2
YLR094C	1	#00FF66
YPL265W	1	#00FF66
YFR055W	2	#00FFA2
YIL011W	3	#00FFDE
YFL020C	8	#0D00FF
YKL014C	2	#00FFA2
YHL032C	1	#00FF66
YAL034C	1	#00FF66
YHR054C	5	#00A8FF
YBR241C	1	#00FF66
YHR008C	1	#00FF66
YMR084W	1	#00FF66
YIL083C	1	#00FF66
YMR217W	2	#00FFA2
YER091C	2	#00FFA2
YGL030W	2	#00FFA2
YML116W	2	#00FFA2
YBR269C	1	#00FF66
YBR181C	2	#00FFA2
YJL109C	2	#00FFA2
YLR167W	3	#00FFDE
YKL060C	3	#00FFDE
YHL024W	1	#00FF66
YJR152W	1	#00FF66
YGR142W	1	#00FF66
YPR010C	2	#00FFA2
YBL015W	1	#00FF66
YMR303C	5	#00A8FF
YDR018C	4	#00E4FF
YGR154C	1	#00FF66
YKR094C	2	#00FFA2
YOR178C	8	#0D00FF
YOR293W	2	#00FFA2
YLR048W	2	#00FFA2
YLR179C	2	#00FFA2
YMR103C	1	#00FF66
YFR053C	5	#00A8FF
YOR134W	1	#00FF66
YHR046C	2	#00FFA2
YPL033C	1	#00FF66
YDL063C	2	#00FFA2
YAL018C	8	#0D00FF
YER053C	1	#00FF66
YLR461W	2	#00FFA2
YDR012W	2	#00FFA2
YLR438W	1	#00FF66
YOR019W	1	#00FF66
YOR374W	5	#00A8FF
YOR173W	4	#00E4FF
YNR007C	1	#00FF66
YGL037C	1	#00FF66
YNL194C	4	#00E4FF
YBL039C	3	#00FFDE
YGR059W	8	#0D00FF
YNL055C	1	#00FF66
YHR089C	2	#00FFA2
YGR039W	3	#00FFDE
YDR418W	2	#00FFA2
YBR104W	2	#00FFA2
YLR150W	2	#00FFA2
YJL144W	1	#00FF66
YJL136C	2	#00FFA2
YOR136W	1	#00FF66
YKL171W	1	#00FF66
YGL096W	1	#00FF66
YCR006C	1	#00FF66
